case_id,eye_id,mode,wavelength_nm,source_demand_D,source_distance_mm,effective_focal_length_mm,axial_length_mm,image_index,reduced_retina_distance_mm,target_diameter_mm,pupil_diameter_mm,external_lens_power_D,external_lens_vertex_distance_mm,conservative_source_diameter_mm,source_mapping_coefficient,pupil_mapping_coefficient,input_sha256
chickm30m45d_baseline_f8_a11p7_p2p5_d60_x0_ac620eadcd,chick_30_45d,baseline,650,60,16.666666666666668,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,7.758903133903134,-0.52544910179640714,0.43076347305389229,ac620eadcdbf5e6d6c00ad95bc1166e8af79398c622dec3a177a4f906e66bf66
chickm30m45d_baseline_f8_a11p7_p2p5_d70_x0_3bed0d890e,chick_30_45d,baseline,650,70,14.285714285714286,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,7.0076312576312594,-0.61302395209580829,0.51833832335329344,3bed0d890e97f8f6b056299533c224ac691a9fe5b6f0f5c45bf84c4386131056
chickm30m45d_baseline_f8_a11p7_p2p5_d80_x0_5a0b9b13ad,chick_30_45d,baseline,650,80,12.5,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,6.4441773504273518,-0.70059880239520944,0.60591317365269459,5a0b9b13ad6b5d7ac529a9618025afe9cc397764709699d6f665c7aab0f844cb
chickm30m45d_baseline_f8_a11p7_p2p5_d90_x0_db279f4b56,chick_30_45d,baseline,650,90,11.111111111111111,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,6.0059354226020902,-0.7881736526946107,0.69348802395209586,db279f4b56a6b1dbfa1ba39fd9d9cbb10ff79d6bfb8ef49a301d232898fd6a90
chickm30m45d_baseline_f8_a11p7_p2p5_d100_x0_fd94012da4,chick_30_45d,baseline,650,100,10,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,5.6553418803418811,-0.87574850299401186,0.78106287425149701,fd94012da4d5a22b7ed7e8ec71cda0c2395e34a7d6a780b48eb7cd733b940ee1
chickm30m45d_baseline_f8_a11p7_p2p5_d110_x0_cdab33c301,chick_30_45d,baseline,650,110,9.0909090909090917,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,5.3684926184926187,-0.96332335329341312,0.86863772455089827,cdab33c30113d979729fa26592be4403d2a09de5985dd0a2a0408363bfccbe8c
chickm30m45d_baseline_f8_a11p7_p2p5_d120_x0_e55a040912,chick_30_45d,baseline,650,120,8.3333333333333339,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,5.1294515669515679,-1.0508982035928143,0.95621257485029953,e55a040912a954279e39c9a79651af0f15718bd70090f580e89e280525f15991
chickm30m45d_baseline_f8_a11p7_p3_d60_x0_ad54cc95fc,chick_30_45d,baseline,650,60,16.666666666666668,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,8.1688034188034191,-0.52544910179640714,0.43076347305389229,ad54cc95fcaffca104a5798e7b11ffc076a9d2660b6655a9c1d80ad7eb78fb9b
chickm30m45d_baseline_f8_a11p7_p3_d70_x0_3d9011b821,chick_30_45d,baseline,650,70,14.285714285714286,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,7.4304029304029307,-0.61302395209580829,0.51833832335329344,3d9011b8215acbe25de1403fb34fdf1f686aff9b5ba1f56f8dd9e2f5f19d4cb2
chickm30m45d_baseline_f8_a11p7_p3_d80_x0_9b84e183e4,chick_30_45d,baseline,650,80,12.5,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,6.8766025641025648,-0.70059880239520944,0.60591317365269459,9b84e183e4a8ec6e1e03f0794a9e790969a7aeb54911796d025eafd90f912dd9
chickm30m45d_baseline_f8_a11p7_p3_d90_x0_2213ebe6b3,chick_30_45d,baseline,650,90,11.111111111111111,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,6.4458689458689467,-0.7881736526946107,0.69348802395209586,2213ebe6b348b6bb1acfc78f52e2ded374a234cfef16f038ab561dcd74587d6b
chickm30m45d_baseline_f8_a11p7_p3_d100_x0_79d94bd3d8,chick_30_45d,baseline,650,100,10,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,6.1012820512820518,-0.87574850299401186,0.78106287425149701,79d94bd3d89ce8aba4dccac86c47be9caccf214dacb801558a64144357da81f4
chickm30m45d_baseline_f8_a11p7_p3_d110_x0_6cb0c3e27e,chick_30_45d,baseline,650,110,9.0909090909090917,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,5.8193473193473197,-0.96332335329341312,0.86863772455089827,6cb0c3e27ee48e3788a1cab8508399a5a1fc0b92ca8ce5f2f11f6d609fff6abd
chickm30m45d_baseline_f8_a11p7_p3_d120_x0_f991f74a52,chick_30_45d,baseline,650,120,8.3333333333333339,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,5.5844017094017104,-1.0508982035928143,0.95621257485029953,f991f74a52d7758a7884d51276b239b1ea3ff83b81b82c227b17e94e164f2d34
chickm30m45d_baseline_f8_a11p7_p3p5_d60_x0_a80e2d62c9,chick_30_45d,baseline,650,60,16.666666666666668,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,8.5787037037037059,-0.52544910179640714,0.43076347305389229,a80e2d62c9ab4ba560a15d41968134fa43978d672183ab659205ec072acd1f3e
chickm30m45d_baseline_f8_a11p7_p3p5_d70_x0_e1a3a1a14a,chick_30_45d,baseline,650,70,14.285714285714286,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,7.8531746031746046,-0.61302395209580829,0.51833832335329344,e1a3a1a14a88010c07b53bb1ff6f6f17deeb041e4fae41bfe40ffc0bc119430f
chickm30m45d_baseline_f8_a11p7_p3p5_d80_x0_75b324144e,chick_30_45d,baseline,650,80,12.5,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,7.3090277777777795,-0.70059880239520944,0.60591317365269459,75b324144eba3c4f4707f2f0d394d5b2929e1000c7d67b90a97e7a89a828b273
chickm30m45d_baseline_f8_a11p7_p3p5_d90_x0_be74fb4d5a,chick_30_45d,baseline,650,90,11.111111111111111,8,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,6.885802469135804,-0.7881736526946107,0.69348802395209586,be74fb4d5a471c4ae43b3b7ada3a66a09c317416d760034405cad02fc59fe103
