case_id,input_sha256,expected_min_y_mm,expected_max_y_mm,expected_valid_rays,boundary_tolerance_um
chickm30m45d_baseline_f8p5_a11p7_p3_d120_x0_1f844eab29,1f844eab293145d12352186de67427d98fcf6c5e17df9ecbd563a28ed8d6dcb6,-4.5465084536808735,4.5465084536808735,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3p5_d60_x0_09f9863e72,09f9863e7200bf41a27f3a375ea511f30e16d2a1e94a9f9c7e079822f19707d6,-3.2243833656216982,3.2243833656216982,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3p5_d70_x0_5f07ba05ee,5f07ba05ee26a812198fb0a787d002c309683ef1a4d4a122d4cc3c410a7c0c9d,-3.5293627817893629,3.5293627817893629,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3p5_d80_x0_a47504f0e6,a47504f0e676420b50f52d40785744e8eff7deebc6a4fd95e174b0584424d8c6,-3.8343421979570271,3.8343421979570271,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3p5_d90_x0_9ea50b49df,9ea50b49df48f2db186bf77bbb4afe76c51d3100ff85c2ac153ece2d43273a8b,-4.1393216141246922,4.1393216141246922,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3p5_d100_x0_a498f7eee9,a498f7eee9a893a9ea9f011363e2378cf6977e199a0c0f95ef93da836565039d,-4.4443010302923565,4.4443010302923565,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3p5_d110_x0_fceaea27e0,fceaea27e0c701e93100f64f8f860c5c8555d7f69385576fc86b6dd291ff86d9,-4.7492804464600216,4.7492804464600216,4,0.00001
chickm30m45d_baseline_f8p5_a11p7_p3p5_d120_x0_ee13e7fc39,ee13e7fc392bbb3bf1b6b0506d0117a7fd7f2253ead194980a45a335e349dd60,-5.0542598626276867,5.0542598626276867,4,0.00001
childm6y_baseline_f13p5_a23_p2_d60_x0_5ec0b48c61,5ec0b48c617a37a54d35669e773a840933effefc952b9b6bb0144e87834479b0,-4.5078365491239749,4.5078365491239749,4,0.00001
childm6y_baseline_f13p5_a23_p2_d70_x0_a32d1d120a,a32d1d120aa1989268b6453d3aec57b0886e2d165dc14b7208ff66f416b5bdf9,-4.8504263694832561,4.8504263694832561,4,0.00001
childm6y_baseline_f13p5_a23_p2_d80_x0_02b5cedfca,02b5cedfca1949d529134b0c8989df30a142643c55530bc5be99a7dc77d54bcb,-5.1930161898425382,5.1930161898425382,4,0.00001
childm6y_baseline_f13p5_a23_p2_d90_x0_0266eae658,0266eae658b6c1caccf2471078152b80f778a9fee542982ece7042d720314db0,-5.5356060102018194,5.5356060102018194,4,0.00001
childm6y_baseline_f13p5_a23_p2_d100_x0_5170f81fcc,5170f81fcc89bb715b31bdb48204d760a28dd1a0055be4df1f4ff2e08aa84826,-5.8781958305611006,5.8781958305611006,4,0.00001
childm6y_baseline_f13p5_a23_p2_d110_x0_0caf42f10f,0caf42f10f2689f2c05f4ef1493966b1bea516048a98f65d86f60dcfbd6588fe,-6.2207856509203818,6.2207856509203818,4,0.00001
childm6y_baseline_f13p5_a23_p2_d120_x0_2f7d07344f,2f7d07344f44665fcb613d1867572156a398aa04c3db1e236cb3a63d67a78463,-6.563375471279663,6.563375471279663,4,0.00001
childm6y_baseline_f13p5_a23_p3_d60_x0_15fcf139ed,15fcf139ed1ad99b6ed388a1542f8852ae7e24c962f9c584670942385fca1c89,-5.261754823685961,5.261754823685961,4,0.00001
childm6y_baseline_f13p5_a23_p3_d70_x0_a366044bd6,a366044bd651eafd1596c9cf1026b3a1cb6369cce43e86a89495a87f9f76d198,-5.7756395542248828,5.7756395542248828,4,0.00001
childm6y_baseline_f13p5_a23_p3_d80_x0_bbb0324824,bbb0324824eece56055d2f0228d0ed2ff64c33fbc640ae7b53edb2a665f3346f,-6.2895242847638055,6.2895242847638055,4,0.00001
childm6y_baseline_f13p5_a23_p3_d90_x0_efab581d08,efab581d08c23224ad5304136bd30f7d2869a3add075075563459fe0a08f402c,-6.8034090153027282,6.8034090153027282,4,0.00001
childm6y_baseline_f13p5_a23_p3_d100_x0_8ca8db3768,8ca8db3768cdc1fb75d0fba560c3bd8b2a9dccf645f0054261ff803e6257d067,-7.3172937458416492,7.3172937458416492,4,0.00001
childm6y_baseline_f13p5_a23_p3_d110_x0_33d1ff1e59,33d1ff1e59c7f4f720c2cefeea7c7543745ab5308cd75e44fea55753bd362f64,-7.8311784763805727,7.8311784763805727,4,0.00001
childm6y_baseline_f13p5_a23_p3_d120_x0_38d30c2b70,38d30c2b70a9af03e218c67fbbbbdc4f55a0adec716af26730979c7660461693,-8.3450632069194945,8.3450632069194945,4,0.00001
childm6y_baseline_f13p5_a23_p4_d60_x0_51380527fc,51380527fccdc48c471d59424d378f5107b37a444c76f87ff53ab36ec2643269,-6.0156730982479489,6.0156730982479489,4,0.00001
