eye_id,eye_label,source_demand_D,source_distance_mm,posterior_pole_diameter_mm,reported_axial_length_mm,image_medium_refractive_index,external_lens_D,sweep_role,fixed_focal_length_mm,fixed_eye_power_D,pupil_diameter_mm,reduced_retina_distance_mm,focus_object_demand_D,retinal_defocus_D,source_mapping_coefficient,pupil_mapping_coefficient,pupil_blur_diameter_mm,geometric_min_source_diameter_mm,geometric_min_source_area_mm2,conservative_source_diameter_mm,conservative_source_area_mm2,geometric_coverage_margin_um,conservative_plateau_margin_um,pupil_blur_alone_covers_target,maximum_source_pupil_ray_angle_deg,small_angle_linearization_error_percent,working_f_number,paraxial_screening_angle_limit_deg,paraxial_screening_min_f_number,paraxial_screening_pass,model_domain,real_experiment_readiness
chick_30_45d,30–45 day chick,100,10,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2.5,8.75748503,10.81196581,89.18803419,-0.875748503,0.7810628743,1.952657186,1.195940171,1.123333703,5.65534188,25.11930447,0,0,False,22.18401844,5.316057024,3.2,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,110,9.090909091,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2.5,8.75748503,10.81196581,99.18803419,-0.9633233533,0.8686377246,2.171594311,0.8599456099,0.5808070093,5.368492618,22.63573505,0,0,False,23.40137303,5.958432292,3.2,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,120,8.333333333,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,2.5,8.75748503,10.81196581,109.1880342,-1.050898204,0.9562125749,2.390531437,0.5799501425,0.2641625208,5.129451567,20.66482579,0,2.168404345e-13,False,24.59674808,6.632480054,3.2,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,60,16.66666667,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3,8.75748503,10.81196581,49.18803419,-0.5254491018,0.4307634731,1.292290419,3.25,8.295768101,8.168803419,52.40910838,0,-2.168404345e-13,False,18.52415163,3.636373356,2.666666667,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,70,14.28571429,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3,8.75748503,10.81196581,59.18803419,-0.6130239521,0.5183383234,1.55501497,2.357142857,4.363768367,7.43040293,43.36252981,0,0,False,20.0553231,4.294666428,2.666666667,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,80,12.5,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3,8.75748503,10.81196581,69.18803419,-0.7005988024,0.6059131737,1.817739521,1.6875,2.236543989,6.876602564,37.13964353,0,0,False,21.55719695,5.002082442,2.666666667,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,90,11.11111111,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3,8.75748503,10.81196581,79.18803419,-0.7881736527,0.693488024,2.080464072,1.166666667,1.069014167,6.445868946,32.63268616,0,2.168404345e-13,False,23.02860284,5.7570851,2.666666667,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,100,10,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3,8.75748503,10.81196581,89.18803419,-0.875748503,0.7810628743,2.343188623,0.75,0.4417864669,6.101282051,29.23695138,0,-2.168404345e-13,False,24.4685779,6.558103196,2.666666667,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,110,9.090909091,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3,8.75748503,10.81196581,99.18803419,-0.9633233533,0.8686377246,2.605913174,0.4090909091,0.1314406017,5.819347319,26.59735426,0,2.168404345e-13,False,25.87635854,7.403542987,2.666666667,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,120,8.333333333,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3,8.75748503,10.81196581,109.1880342,-1.050898204,0.9562125749,2.868637725,0.125,0.0122718463,5.584401709,24.49306777,0,0,False,27.25137024,8.291799631,2.666666667,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,60,16.66666667,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,49.18803419,-0.5254491018,0.4307634731,1.507672156,2.840099715,6.33515227,8.578703704,57.80071593,0,0,False,19.91854684,4.233318268,2.285714286,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,70,14.28571429,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,59.18803419,-0.6130239521,0.5183383234,1.814184132,1.934371184,2.93879647,7.853174603,48.43735148,0,0,False,21.67094859,5.058228153,2.285714286,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,80,12.5,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,69.18803419,-0.7005988024,0.6059131737,2.120696108,1.255074786,1.237169177,7.309027778,41.95745198,0,2.168404345e-13,False,23.38177832,5.947745073,2.285714286,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,90,11.11111111,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,79.18803419,-0.7881736527,0.693488024,2.427208084,0.7267331434,0.4148010199,6.885802469,37.23908501,0,2.168404345e-13,False,25.04955801,6.899367887,2.285714286,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,100,10,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,89.18803419,-0.875748503,0.7810628743,2.73372006,0.3040598291,0.07261192918,6.547222222,33.666971,0,-2.168404345e-13,False,26.67317429,7.910558906,2.285714286,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,110,9.090909091,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,99.18803419,-0.9633233533,0.8686377246,3.040232036,0,0,6.27020202,30.87826917,20.11601796,-2.168404345e-13,True,28.25185523,8.978767924,2.285714286,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,120,8.333333333,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,109.1880342,-1.050898204,0.9562125749,3.346744012,0,0,6.039351852,28.64643259,173.372006,-2.168404345e-13,True,29.78514356,10.10145363,2.285714286,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,60,16.66666667,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,2,8.75748503,3.459024635,56.54097536,-0.5254491018,0.4951567453,0.9903134907,3.824702531,11.48907879,7.594100888,45.29420135,0,-2.168404345e-13,False,16.05703689,2.702913287,4.25,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,70,14.28571429,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,2,8.75748503,3.459024635,66.54097536,-0.6130239521,0.5827315956,1.165463191,2.992602169,7.033764997,6.794943618,36.26282185,0,0,False,17.10957061,3.082424842,4.25,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,80,12.5,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,2,8.75748503,3.459024635,76.54097536,-0.7005988024,0.6703064459,1.340612892,2.368526898,4.406020603,6.195575666,30.14763247,0,0,False,18.15033508,3.485008784,4.25,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,90,11.11111111,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,2,8.75748503,3.459024635,86.54097536,-0.7881736527,0.7578812962,1.515762592,1.88313502,2.785177007,5.729400592,25.78150457,0,-2.168404345e-13,False,19.17885161,3.910243704,4.25,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
chick_30_45d,30–45 day chick,100,10,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,2,8.75748503,3.459024635,96.54097536,-0.875748503,0.8454561465,1.690912293,1.494821518,1.754965419,5.356460533,22.53438448,0,0,False,20.19468422,4.357695323,4.25,10,4,False,FIRST_ORDER_PARAXIAL_ONLY,BLOCKED_CALIBRATION_REQUIRED
